,Sentence
4213,very poorly made
8195,comfortable
2311,pick something else
5641,not durable
7232,good buy
895,too narrow
8291,like others have reported an inferior shoe compared to previous generations
4578,comfortable sneaker
705,too narrow
5626,nd pair i bought and within a year something broke
7218,and they are the most comfortable tennis shoes that i own
4478,soft landings
5616,good for thick feet bad for me
8328,ordered twice both times too small
8391,shoe laces are crap
5570,perfect shoes for my mom
3784,these are super comfortable and the wide version fit great
3078,an you order your size you should get that size
8297,only asics that did damage to flesh
582,not authentic and way too big
2186,not durable
4652,great fit
2669,great shoe for the price tag
5362,comfortable and sleek
7334,wearing in well
4203,not a good fit runs small
8504,just ok
7965,comfortable and durable
7521,these seem like really cheap shoes
1311,perfect fit and comfortable
2211,squeeky
4279,my feet hurt
5349,best value
289,good shoe but had to return
3647,stylish
2472,finally an asics toebox that works for me
1073,great comfortable shoe
554,comfy cute but not for working out
7461,cómodos
6988,meh
4801,these are great shoes
2696,so comfortable
7630,not very durable at least when a y
3995,too small
90,like walking on clouds
8197,great shoes
5967,istmas presentter very disappointed
3168,no gel
4755,great all around workout shoe
1828,nice price nice light weight shoe
8272,canvas on the roof of the sneaker tears from my big toe never had that happen
2420,great trail shoes
3911,disappointed
3423,comfortable
6603,squeek squeek squeek squeek squeek squeek
2200,alright but soles aren t great quality
5319,just wow
7300,good fit
942,very little support
8686,la descripción y el producto no tienen nada que ver
4548,great shoes great price
5017,the s were better
6407,the most comfortable running shoes i have ever owned
1574,run small
5246,satisfied customer
8514,hard as rocks your back will hate you
7407,great stylish sneaker
667,tennis shoes
1119,packaging nightmare oh no
3026,they are ok
6740,not so good
8045,quality materials
1850,perfect fit and very comfortable
1057,great shoes
8461,the tops of my toes tore through the tops of the shoes
8283,fell apart quickly
3154,good shoe for all purpose
6246,great comfort and performance
2041,shoe fits perfectly
8250,poor quality and ugly
5352,vibrant
5539,very comfortable and supportive great for walking long distances
5705,reject nb shoes
6622,do not buy wait for it
7389,very good design
8258,poor quality manufacturing
246,love these
8586,run small
3444,shoe with great style and fit
7134,quality
4591,so comfortable
3437,comfortable
7996,good cross trainer
1302,look great and comfortable
358,super cute shoes
8482,bad smile
6516,poor fit on one foot
8185,good value robust support
4141,not comfortable
546,not real adidas
